Flow,Load (Mbps),Throughput (Mbps),Delay (s), Packet Loss (%)
1,10,2.34859e+12,0.126989,0.468284
1,20,2.39646e+12,0.130398,0.234993
1,30,2.41212e+12,0.136549,0.171086
1,40,2.41918e+12,0.145091,0.128383
1,50,2.4336e+12,0.154912,0.0942023
1,60,2.42887e+12,0.149818,0.0856531
1,70,2.43143e+12,0.149268,0.0795448
1,80,2.43686e+12,0.151139,0.0642605
1,90,2.43028e+12,0.157538,0.0571238
1,100,2.43047e+12,0.15688,0.0556984
1,10,2.4295e+12,0.0168689,0
1,20,2.44716e+12,0.0156299,0
1,30,2.44497e+12,0.0115025,0
1,40,2.44903e+12,0.0114096,0
1,50,2.45096e+12,0.0131986,0
1,60,2.44393e+12,0.0205812,0
1,70,2.44572e+12,0.0192404,0
1,80,2.45067e+12,0.0131647,0
1,90,2.4474e+12,0.0152565,0
1,100,2.4487e+12,0.0151525,0
